1571690442637,805,201,writeNewLiftRide
1571690442637,805,201,writeNewLiftRide
1571690442637,805,201,writeNewLiftRide
1571690442637,805,201,writeNewLiftRide
1571690442637,805,201,writeNewLiftRide
1571690442637,805,201,writeNewLiftRide
1571690442637,807,201,writeNewLiftRide
1571690442637,814,201,writeNewLiftRide
1571690443444,12,201,writeNewLiftRide
1571690443443,14,201,writeNewLiftRide
1571690443443,17,201,writeNewLiftRide
1571690443443,20,201,writeNewLiftRide
1571690443444,20,201,writeNewLiftRide
1571690443451,14,201,writeNewLiftRide
1571690443443,24,201,writeNewLiftRide
1571690443443,26,201,writeNewLiftRide
1571690443460,10,201,writeNewLiftRide
1571690443465,6,201,writeNewLiftRide
1571690443457,15,201,writeNewLiftRide
1571690443456,17,201,writeNewLiftRide
1571690443463,11,201,writeNewLiftRide
1571690443464,11,201,writeNewLiftRide
1571690443471,5,201,writeNewLiftRide
1571690443469,8,201,writeNewLiftRide
1571690443473,6,201,writeNewLiftRide
1571690443467,14,201,writeNewLiftRide
1571690443475,8,201,writeNewLiftRide
1571690443474,10,201,writeNewLiftRide
1571690443472,14,201,writeNewLiftRide
1571690443470,17,201,writeNewLiftRide
1571690443479,9,201,writeNewLiftRide
1571690443477,13,201,writeNewLiftRide
1571690443476,15,201,writeNewLiftRide
1571690443486,6,201,writeNewLiftRide
1571690443483,10,201,writeNewLiftRide
1571690443484,10,201,writeNewLiftRide
1571690443481,15,201,writeNewLiftRide
1571690443490,7,201,writeNewLiftRide
1571690443487,11,201,writeNewLiftRide
1571690443494,5,201,writeNewLiftRide
1571690443493,8,201,writeNewLiftRide
1571690443492,10,201,writeNewLiftRide
1571690443491,13,201,writeNewLiftRide
1571690443499,6,201,writeNewLiftRide
1571690443498,8,201,writeNewLiftRide
1571690443497,11,201,writeNewLiftRide
1571690443496,13,201,writeNewLiftRide
1571690443488,23,201,writeNewLiftRide
1571690443504,7,201,writeNewLiftRide
1571690443506,5,201,writeNewLiftRide
1571690443502,11,201,writeNewLiftRide
1571690443501,14,201,writeNewLiftRide
1571690443509,8,201,writeNewLiftRide
1571690443511,7,201,writeNewLiftRide
1571690443505,15,201,writeNewLiftRide
1571690443511,10,201,writeNewLiftRide
1571690443511,11,201,writeNewLiftRide
1571690443518,5,201,writeNewLiftRide
1571690443508,16,201,writeNewLiftRide
1571690443520,5,201,writeNewLiftRide
1571690443517,9,201,writeNewLiftRide
1571690443522,6,201,writeNewLiftRide
1571690443524,5,201,writeNewLiftRide
1571690443525,5,201,writeNewLiftRide
1571690443526,4,201,writeNewLiftRide
1571690443513,18,201,writeNewLiftRide
1571690443515,17,201,writeNewLiftRide
1571690443523,10,201,writeNewLiftRide
1571690443530,4,201,writeNewLiftRide
1571690443521,15,201,writeNewLiftRide
1571690443531,6,201,writeNewLiftRide
1571690443530,8,201,writeNewLiftRide
